店家名稱,產品名稱,店家商品數量,店家評價,店家出貨天數,店家回覆率,特價,折數,商品評分,購買人數
樂意購生活家電館,奇美雙門電冰箱 579公升一級變頻 UR-P579VB~含安裝定位+舊機回收,26,4.9,0.8,100%,26200,100,0 ,2 
電玩部屋,【超殺價⭐️】NS Switch 薩爾達傳說 王國之淚 (曠野之息續篇) 中文版,160,4.9,0.9,100%,1620,100,0 ,19 
南屯手機王,【Sony】Xperia 1 IV XQ-CT72 12G / 256G 6.5吋4K螢幕,59,4.9,0.6,100%,26990,100,0 ,1 
電器妙妙屋,【勳風】 14吋DC直流負離子循環吸頂扇(HF-7499DC),331,4.6,0.8,100%,2724,100,1 ,19 
小蔡電器-免比價最低價,美的【MVC-J50HA/MVS-J50HA】變頻冷暖分離式冷氣,5546,4.7,1.9,100%,26154,100,0 ,1 
東摸摸西摸摸會館,送原廠套+禮券 Samsung The Freestyle 微型智慧投影機 SP-LSP3BLA,270,4.8,0.7,100%,25900,100,4 ,1 
南屯手機王,【Google】 Pixel Buds Pro 主動降噪 藍牙耳機,59,4.9,0.6,100%,4290,100,0 ,10 
家電小霸王全台配送,KM-55X80K,117,--,--,100%,26505,100,0 ,1 
淨悅淨水生活館,SW-202 鹼性電解水機/4枚3槽 燒結式鈦白金電解槽,510,4.8,0.7,100%,25480,100,0 ,1 
hobe Enjoy Life,台灣現貨🔥 iwalk 第四代行動電源 DBL4500 充電寶 4500mAh 蘋果 TypeC,1635,4.6,2.5,100%,568,100,4.8 ,111 
怡眾百貨名品家電,【acerpure 】acerpure clean 直立式無線吸塵器 SV552-10W,320,4.9,0.8,100%,6290,100,0 ,6 
博士韋爾Bosswell 官方直營店,【BOSSWELL 博士韋爾】MonPet-除臭雙電離抗敏滅菌清淨機3-12坪(L1011),39,4.4,0.9,100%,12171,100,0 ,2 
小蔡電器-免比價最低價,Panasonic國際牌【F-Y24GX】12公升/日除濕機,5546,4.7,1.9,100%,11998,100,0 ,2 
大大淨水,BUDER普德BD-3006B廚下型冷水煮沸飲水機 搭配DC-1604四道式中空絲膜除菌淨水器,605,4.8,0.9,99%,25200,100,0 ,1 
林伯家電特賣,*現貨*威技 R32一級變頻8-10坪冷暖型5.0KW分離式冷氣(含運含安裝),864,4.7,0.9,100%,23900,100,0 ,2 
禾統光電科技有限公司,【禾統】台灣現貨 Y9智慧型投影機 無線投影 內建APP 露營 旅行 家用投影機,153,4.6,0.4,100%,2948,100,4.4 ,108 
鵬博量販百貨,遙控智能脈衝肩頸按摩貼 按摩儀 腰部/手臂/腹部/肩頸/大小腿按摩,1440,4.3,0.5,100%,283,100,3.1 ,253 
小蔡電器-免比價最低價,美的【MVC-J40HA/MVS-J40HA】變頻冷暖分離式冷氣,5546,4.7,1.9,100%,22686,100,0 ,1 
DTAudio聆翔官方旗艦店,S50智慧手錶 血氧計算 血壓心律計算 觸控屏幕 運動手錶 訊息提示 睡眠監測 DTAudio,318,4.5,1,100%,783,100,4.4 ,"1,158"
HANLIN,【HANLIN-2.4MIC】2.4G無線通用頭戴麥克風,302,4.6,1.9,100%,906,100,4.8 ,"1,055"
良威商城3C數位購物網,微軟 Microsoft Office 2021 盒裝版 家用版,116,4.8,1.1,100%,3640,100,4.9 ,492 
傑能數位有限公司,【5月底到貨】MOZTECH 萬能充Pro 多功能五合一行動電源 10000MAH 雙口快充,138,4.7,0.5,99%,1837,100,4.4 ,85 
全球3C通訊,Oukitel P2001大容量行動電源 633600mAh/2000W AC/110V 露營 儲能,5,--,0.5,100%,47530,100,0 ,6 
好buy家電生活館,【ZOJIRUSHI 象印】 NL-AAF18 10人份 微電腦 電子鍋 附蒸籠 日本製,461,4.8,0.9,100%,3580,100,4.9 ,60 
Mii Shop 手機3C配件專賣,【現貨當天寄出】MOZTECH 萬能充Pro 多功能五合一 行動電源 MagSafe 無線充電,76,4.6,0.8,100%,1940,100,4.8 ,102 
